order_id,order_date,product_id,product_name,sales
CA-2011-103800,04-01-2011,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16
IN-2011-33036,04-01-2011,OFF-LA-10000784,"Harbour Creations File Folder Labels, 5000 Label Set",27
IT-2011-2942451,04-01-2011,OFF-ST-10001426,"Eldon Folders, Single Width",17
SU-2011-5190,04-01-2011,OFF-BOS-10004950,"Boston Pens, Fluorescent",15
SU-2011-5190,04-01-2011,OFF-AVE-10003279,"Avery Hole Reinforcements, Durable",6
MX-2011-109267,05-01-2011,OFF-AP-10004245,"Hoover Stove, Black",3029
ES-2011-3848439,05-01-2011,OFF-AR-10001291,"Sanford Canvas, Fluorescent",207
ES-2011-3848439,05-01-2011,OFF-AR-10000833,"Binney & Smith Pencil Sharpener, Water Color",90
CA-2011-112326,05-01-2011,OFF-ST-10002743,SAFCO Boltless Steel Shelving,273
IN-2011-27681,05-01-2011,FUR-FU-10000394,"Rubbermaid Photo Frame, Durable",49
CA-2011-112326,05-01-2011,OFF-LA-10003223,Avery 508,12
CA-2011-112326,05-01-2011,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,4
ES-2011-5496179,06-01-2011,FUR-FU-10000468,"Advantus Frame, Durable",324
IN-2011-29963,06-01-2011,OFF-ST-10000344,"Fellowes Box, Industrial",50
ID-2011-41632,06-01-2011,OFF-ST-10001631,"Tenex Trays, Blue",90
IN-2011-29963,06-01-2011,OFF-FA-10000549,"Advantus Staples, Metal",41
ID-2011-41632,06-01-2011,OFF-PA-10003407,"Enermax Memo Slips, Recycled",39
AO-2011-4910,06-01-2011,TEC-LOG-10003079,"Logitech Flash Drive, Erganomic",28
IN-2011-76107,06-01-2011,OFF-EN-10002166,"Cameo Manila Envelope, with clear poly window",31
CA-2011-141817,06-01-2011,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20
CA-2011-167199,07-01-2011,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,2574
CA-2011-167199,07-01-2011,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,610
CA-2011-167199,07-01-2011,TEC-PH-10004977,GE 30524EE4,392
MZ-2011-1260,07-01-2011,OFF-ELD-10001694,"Eldon File Cart, Single Width",256
ID-2011-58670,07-01-2011,TEC-MA-10000868,"Panasonic Phone, Wireless",445
ID-2011-58670,07-01-2011,TEC-AC-10003413,"Logitech Router, Programmable",274
ES-2011-5433855,07-01-2011,OFF-ST-10004855,"Smead Lockers, Industrial",716
ID-2011-58670,07-01-2011,TEC-MA-10004482,"Panasonic Card Printer, White",388
LE-2011-9590,07-01-2011,TEC-HP -10000464,"HP Fax and Copier, Color",174
CA-2011-167199,07-01-2011,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,756
MZ-2011-1260,07-01-2011,OFF-STA-10004885,"Stanley Sketch Pad, Easy-Erase",45
ES-2011-5433855,07-01-2011,OFF-FA-10002071,"Accos Thumb Tacks, Assorted Sizes",33
ES-2011-5433855,07-01-2011,FUR-BO-10000265,"Bush Floating Shelf Set, Pine",155
CA-2011-130813,07-01-2011,OFF-PA-10002005,Xerox 225,19
AG-2011-7230,07-01-2011,OFF-STA-10000244,"Stanley Sketch Pad, Fluorescent",91
MX-2011-135629,07-01-2011,OFF-FA-10001871,"Stockwell Rubber Bands, Bulk Pack",43
MX-2011-135629,07-01-2011,OFF-BI-10000136,"Ibico Index Tab, Durable",19
CA-2011-106054,07-01-2011,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13
ID-2011-58670,07-01-2011,OFF-AR-10003684,"BIC Sketch Pad, Fluorescent",27
LE-2011-9590,07-01-2011,FUR-ADV-10000847,"Advantus Stacking Tray, Black",26
CA-2011-167199,07-01-2011,OFF-FA-10001883,"Alliance Super-Size Bands, Assorted Sizes",31
CA-2011-167199,07-01-2011,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,7
ID-2011-28752,07-01-2011,OFF-LA-10002875,"Novimex Shipping Labels, Adjustable",18
CA-2011-167199,07-01-2011,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,5
IT-2011-5134922,07-01-2011,OFF-AR-10000316,"Stanley Pens, Blue",5
AO-2011-1670,08-01-2011,FUR-IKE-10001539,"Ikea Classic Bookcase, Pine",2479
IN-2011-19330,08-01-2011,TEC-MA-10002468,"Panasonic Inkjet, White",2174
IT-2011-4546695,08-01-2011,FUR-BO-10003103,"Ikea Classic Bookcase, Metal",987
MX-2011-121202,08-01-2011,OFF-ST-10002471,"Smead Lockers, Single Width",397
CA-2011-105417,08-01-2011,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77
MX-2011-121202,08-01-2011,OFF-BI-10002937,"Wilson Jones Binder Covers, Clear",50
IT-2011-4546695,08-01-2011,OFF-AR-10000110,"Binney & Smith Sketch Pad, Blue",116
NI-2011-4770,08-01-2011,OFF-AVE-10000608,"Avery Index Tab, Economy",5
CA-2011-105417,08-01-2011,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10
ID-2011-20814,09-01-2011,TEC-PH-10001730,"Motorola Signal Booster, Full Size",240
IN-2011-69366,09-01-2011,TEC-AC-10000354,"Belkin Numeric Keypad, USB",177
ID-2011-46483,09-01-2011,OFF-ST-10001342,"Fellowes Trays, Blue",158
IN-2011-69366,09-01-2011,TEC-PH-10003823,"Apple Headset, Full Size",124
ID-2011-46483,09-01-2011,OFF-FA-10000577,"Stockwell Push Pins, 12 Pack",52
IN-2011-69366,09-01-2011,OFF-LA-10000668,"Smead Removable Labels, Adjustable",45
ID-2011-46483,09-01-2011,OFF-PA-10003405,"Green Bar Memo Slips, Premium",9
IN-2011-69366,09-01-2011,OFF-BI-10003874,"Avery Index Tab, Clear",10
IN-2011-61302,10-01-2011,TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",2875
HU-2011-1380,10-01-2011,FUR-IKE-10002894,"Ikea Library with Doors, Traditional",363
HU-2011-1380,10-01-2011,TEC-CAN-10004354,"Canon Ink, Laser",589
EG-2011-4260,10-01-2011,FUR-CHR-10004803,"Chromcraft Wood Table, Fully Assembled",968
HU-2011-1380,10-01-2011,OFF-SAN-10003226,"SanDisk Message Books, Recycled",142
HU-2011-1380,10-01-2011,OFF-SAN-10000874,"Sanford Pencil Sharpener, Fluorescent",155
HU-2011-1380,10-01-2011,TEC-EPS-10000774,"Epson Phone, Red",156
AG-2011-1070,10-01-2011,OFF-HOO-10001783,"Hoover Microwave, Red",309
US-2011-101091,10-01-2011,TEC-CO-10001818,"Sharp Wireless Fax, Digital",425
HU-2011-1380,10-01-2011,OFF-EAT-10002068,"Eaton Note Cards, Premium",53
IT-2011-3659171,10-01-2011,OFF-ST-10004695,"Fellowes File Cart, Blue",206
HU-2011-1380,10-01-2011,OFF-CAM-10001249,"Cameo Mailers, with clear poly window",42
MX-2011-140697,10-01-2011,OFF-ST-10002251,"Fellowes Shelving, Wire Frame",114
IN-2011-13065,10-01-2011,OFF-SU-10003559,"Kleencut Ruler, Steel",26
IN-2011-61302,10-01-2011,OFF-LA-10000879,"Hon File Folder Labels, Alphabetical",30
IN-2011-13065,10-01-2011,OFF-BI-10002853,"Avery Binder Covers, Recycled",34
HU-2011-1380,10-01-2011,TEC-STA-10000546,"StarTech Calculator, Red",37
IN-2011-61302,10-01-2011,OFF-PA-10003731,"Enermax Note Cards, Premium",162
HU-2011-1380,10-01-2011,OFF-SAN-10001128,"Sanford Pens, Easy-Erase",11
HU-2011-1380,10-01-2011,OFF-AVE-10000357,"Avery Binder Covers, Clear",11
SF-2011-6400,10-01-2011,OFF-ACC-10003422,"Acco Binder, Durable",17
CA-2011-135405,10-01-2011,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,31
ID-2011-13660,10-01-2011,OFF-FA-10003615,"Stockwell Staples, Assorted Sizes",12
MX-2011-140697,10-01-2011,OFF-SU-10003739,"Elite Scissors, Easy Grip",16
CA-2011-135405,10-01-2011,OFF-AR-10004078,Newell 312,9
ES-2011-5158390,11-01-2011,FUR-CH-10004255,"SAFCO Executive Leather Armchair, Red",1384
US-2011-163874,11-01-2011,OFF-ST-10003741,"Smead Lockers, Blue",1323
US-2011-163874,11-01-2011,FUR-BO-10002214,"Dania Floating Shelf Set, Traditional",452
IN-2011-39308,11-01-2011,TEC-PH-10002806,"Apple Audio Dock, VoIP",554
IN-2011-79761,11-01-2011,TEC-CO-10001895,"Sharp Wireless Fax, Color",697
US-2011-163874,11-01-2011,TEC-PH-10002755,"Apple Headset, VoIP",245
IN-2011-39308,11-01-2011,OFF-AR-10003613,"Sanford Canvas, Easy-Erase",334
ES-2011-4359424,11-01-2011,FUR-TA-10001693,"Bevis Training Table, with Bottom Storage",268
ES-2011-5158390,11-01-2011,OFF-AR-10001599,"Binney & Smith Canvas, Blue",103
IN-2011-39308,11-01-2011,FUR-FU-10001096,"Advantus Clock, Black",188
IN-2011-29872,11-01-2011,FUR-FU-10001471,"Eldon Door Stop, Durable",142
TU-2011-800,11-01-2011,FUR-SAF-10003540,"Safco Floating Shelf Set, Metal",157
ID-2011-82589,11-01-2011,OFF-EN-10000128,"GlobeWeis Interoffice Envelope, Set of 50",115
ES-2011-1466305,11-01-2011,OFF-ST-10003446,"Smead Trays, Single Width",97
IN-2011-79761,11-01-2011,FUR-FU-10000256,"Rubbermaid Photo Frame, Duo Pack",78
US-2011-163874,11-01-2011,OFF-AP-10000569,"KitchenAid Coffee Grinder, Black",140
ES-2011-1466305,11-01-2011,OFF-AR-10004519,"Boston Canvas, Fluorescent",55
CA-2011-149020,11-01-2011,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",52
ES-2011-4359424,11-01-2011,OFF-LA-10002733,"Novimex File Folder Labels, Alphabetical",40
ES-2011-1138719,11-01-2011,OFF-BI-10001833,"Ibico Hole Reinforcements, Recycled",22
IN-2011-39308,11-01-2011,OFF-BI-10004334,"Avery Hole Reinforcements, Durable",5
CA-2011-149020,11-01-2011,OFF-LA-10004272,Avery 482,3
MX-2011-141530,12-01-2011,TEC-AC-10004743,"Logitech Router, USB",495
MX-2011-141530,12-01-2011,TEC-CO-10003142,"Hewlett Fax and Copier, Laser",385
ES-2011-1460199,12-01-2011,FUR-BO-10004080,"Ikea Stackable Bookrack, Traditional",552
ES-2011-1460199,12-01-2011,TEC-MA-10003078,"Epson Printer, White",522
ES-2011-4976144,12-01-2011,FUR-CH-10000745,"Hon Chairmat, Adjustable",290
ES-2011-5040255,12-01-2011,OFF-PA-10000450,"Green Bar Note Cards, Multicolor",34
ES-2011-1460199,12-01-2011,OFF-AR-10001599,"Binney & Smith Canvas, Blue",257
CA-2011-130092,12-01-2011,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",10
ES-2011-1460199,12-01-2011,OFF-BI-10000081,"Ibico Index Tab, Clear",17
NI-2011-1670,12-01-2011,OFF-FEL-10001792,"Fellowes Folders, Wire Frame",15
NI-2011-1670,12-01-2011,OFF-BIC-10000582,"BIC Sketch Pad, Water Color",16
NI-2011-1670,12-01-2011,OFF-AVE-10000065,"Avery Removable Labels, Alphabetical",13
NI-2011-1670,12-01-2011,OFF-KLE-10001317,"Kleencut Ruler, Easy Grip",5
NI-2011-1670,12-01-2011,OFF-ADV-10003030,"Advantus Staples, 12 Pack",3
NI-2011-1670,12-01-2011,OFF-FEL-10003848,"Fellowes Trays, Industrial",17
EG-2011-4270,13-01-2011,OFF-SME-10004553,"Smead Lockers, Blue",794
EG-2011-4270,13-01-2011,TEC-HP -10001574,"HP Fax Machine, Laser",1200
MX-2011-150567,13-01-2011,TEC-MA-10000560,"StarTech Inkjet, Wireless",201
IT-2011-5340302,13-01-2011,OFF-ST-10002506,"Smead Lockers, Blue",198
EG-2011-4270,13-01-2011,OFF-FEL-10001343,"Fellowes Box, Wire Frame",38
US-2011-105760,13-01-2011,OFF-SU-10001794,"Elite Ruler, Steel",26
IT-2011-5951216,13-01-2011,OFF-AR-10004884,"Sanford Pens, Fluorescent",31
IT-2011-5340302,13-01-2011,OFF-PA-10002040,"Green Bar Cards & Envelopes, Multicolor",50
IT-2011-5340302,13-01-2011,OFF-LA-10002353,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",22
IN-2011-38349,13-01-2011,OFF-LA-10002765,"Harbour Creations Legal Exhibit Labels, Adjustable",16
IT-2011-5340302,13-01-2011,OFF-BI-10001055,"Wilson Jones Hole Reinforcements, Durable",9
CA-2011-157147,14-01-2011,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,1326
CA-2011-162775,14-01-2011,OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,573
CA-2011-162775,14-01-2011,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,647
ES-2011-1043483,14-01-2011,TEC-MA-10002918,"StarTech Card Printer, White",486
CA-2011-109232,14-01-2011,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,546
ES-2011-1043483,14-01-2011,TEC-PH-10003847,"Apple Headset, with Caller ID",440
CA-2011-157147,14-01-2011,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",334
ES-2011-1043483,14-01-2011,OFF-PA-10001650,"Xerox Message Books, Premium",224
MX-2011-135979,14-01-2011,FUR-BO-10001295,"Safco Floating Shelf Set, Traditional",393
MX-2011-168599,14-01-2011,OFF-EN-10004870,"Jiffy Mailers, Security-Tint",106
SF-2011-7680,14-01-2011,OFF-SAN-10001128,"Sanford Pens, Easy-Erase",136
CA-2011-162775,14-01-2011,OFF-EN-10001532,Brown Kraft Recycled Envelopes,51
MX-2011-135979,14-01-2011,OFF-PA-10004155,"Eaton Computer Printout Paper, 8.5 x 11",246
TU-2011-4040,14-01-2011,OFF-FEL-10001261,"Fellowes File Cart, Blue",110
ID-2011-16453,14-01-2011,FUR-FU-10000944,"Tenex Door Stop, Black",99
ID-2011-16453,14-01-2011,OFF-ST-10004015,"Smead Trays, Blue",80
MX-2011-135979,14-01-2011,OFF-ST-10001326,"Tenex Shelving, Single Width",109
TU-2011-4040,14-01-2011,OFF-SME-10004553,"Smead Lockers, Blue",79
TU-2011-4040,14-01-2011,OFF-ACM-10003278,"Acme Trimmer, Easy Grip",74
MX-2011-135979,14-01-2011,OFF-BI-10000185,"Cardinal Binder Covers, Recycled",66
CA-2011-157147,14-01-2011,OFF-AR-10003514,4009 Highlighters by Sanford,20
CA-2011-162775,14-01-2011,OFF-EN-10001990,Staples,11
CA-2011-118192,14-01-2011,OFF-PA-10002947,Xerox 1923,37
CA-2011-162775,14-01-2011,OFF-BI-10004187,Staples,6
TU-2011-4040,14-01-2011,OFF-STA-10000298,"Stanley Canvas, Blue",79
CA-2011-118192,14-01-2011,OFF-BI-10003476,Avery Metallic Poly Binders,3
ES-2011-3661686,15-01-2011,TEC-CO-10003228,"Hewlett Copy Machine, Laser",527
ES-2011-1374122,15-01-2011,FUR-BO-10003126,"Dania Library with Doors, Traditional",652
MX-2011-129420,15-01-2011,FUR-CH-10003485,"Hon Swivel Stool, Set of Two",265
ID-2011-38832,15-01-2011,OFF-AR-10000989,"Binney & Smith Canvas, Blue",150
ID-2011-38832,15-01-2011,OFF-AR-10000251,"Stanley Markers, Fluorescent",51
ES-2011-3661686,15-01-2011,OFF-AP-10001169,"Cuisinart Microwave, White",249
CA-2011-149524,15-01-2011,FUR-BO-10003433,Sauder Cornerstone Collection Library,62
ES-2011-3661686,15-01-2011,OFF-PA-10001869,"Green Bar Computer Printout Paper, 8.5 x 11",170
ES-2011-3661686,15-01-2011,OFF-SU-10004244,"Elite Letter Opener, Easy Grip",55
NI-2011-2280,15-01-2011,FUR-HAR-10000441,"Harbour Creations Rocking Chair, Adjustable",45
NI-2011-2280,15-01-2011,OFF-ADV-10003030,"Advantus Staples, 12 Pack",19
NI-2011-2280,15-01-2011,OFF-SAN-10004232,"Sanford Markers, Fluorescent",15
ES-2011-3661686,15-01-2011,OFF-LA-10000134,"Harbour Creations Removable Labels, 5000 Label Set",21
CA-2011-103366,16-01-2011,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,150
MX-2011-145765,17-01-2011,TEC-CO-10003142,"Hewlett Fax and Copier, Laser",1412
ES-2011-3305419,17-01-2011,OFF-AR-10001230,"Binney & Smith Markers, Water Color",300
CA-2011-115791,17-01-2011,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,127
CA-2011-115791,17-01-2011,TEC-PH-10004614,AT&T 841000 Phone,124
CA-2011-115791,17-01-2011,OFF-LA-10001074,Round Specialty Laser Printer Labels,30
ES-2011-3305419,17-01-2011,OFF-ST-10001646,"Fellowes Box, Wire Frame",84
ES-2011-3305419,17-01-2011,OFF-ST-10000988,"Fellowes Folders, Blue",95
ES-2011-3305419,17-01-2011,OFF-ST-10003764,"Tenex Box, Industrial",46
ID-2011-80538,17-01-2011,OFF-BI-10001397,"Ibico Binder, Economy",37
CA-2011-115791,17-01-2011,OFF-BI-10001575,GBC Linen Binding Covers,19
IN-2011-78501,17-01-2011,OFF-AR-10004138,"Stanley Pens, Easy-Erase",19
IT-2011-1373680,17-01-2011,OFF-LA-10001413,"Hon Shipping Labels, Laser Printer Compatible",17
TZ-2011-5130,18-01-2011,OFF-FEL-10004665,"Fellowes Lockers, Blue",746
ES-2011-4174897,18-01-2011,OFF-FA-10000856,"Stockwell Thumb Tacks, Bulk Pack",108
MX-2011-115644,18-01-2011,OFF-FA-10002268,"OIC Clamps, 12 Pack",38
ES-2011-4825230,18-01-2011,OFF-BI-10004446,"Acco Binding Machine, Economy",26
SA-2011-7780,18-01-2011,OFF-CAR-10003259,"Cardinal Binder, Recycled",14
ZA-2011-9910,19-01-2011,OFF-BIN-10000772,"Binney & Smith Pencil Sharpener, Water Color",418
ES-2011-3666932,19-01-2011,OFF-BI-10004195,"Wilson Jones Binding Machine, Clear",145
MX-2011-139199,19-01-2011,TEC-MA-10001859,"Okidata Printer, Wireless",716
MX-2011-139199,19-01-2011,FUR-BO-10004407,"Ikea Floating Shelf Set, Metal",226
IN-2011-45020,19-01-2011,TEC-CO-10004267,"Brother Ink, Laser",278
ES-2011-3666932,19-01-2011,OFF-ST-10000988,"Fellowes Folders, Blue",48
ZA-2011-9910,19-01-2011,TEC-BEL-10000681,"Belkin Mouse, USB",41
CA-2011-123477,19-01-2011,OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,65
MX-2011-139199,19-01-2011,TEC-AC-10002370,"SanDisk Flash Drive, Bluetooth",53
ES-2011-1690587,19-01-2011,OFF-EN-10004150,"GlobeWeis Business Envelopes, Recycled",48
CA-2011-8390,19-01-2011,OFF-STO-10000347,"Stockwell Clamps, Assorted Sizes",16
AO-2011-8430,20-01-2011,FUR-BUS-10002989,"Bush Classic Bookcase, Traditional",825
MX-2011-131618,20-01-2011,OFF-AP-10002433,"Cuisinart Microwave, Silver",372
CA-2011-146591,20-01-2011,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181
IR-2011-9150,20-01-2011,FUR-OFF-10002395,"Office Star Rocking Chair, Red",141
US-2011-153591,20-01-2011,FUR-BO-10004980,"Bush Library with Doors, Mobile",196
CA-2011-146591,20-01-2011,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56
AO-2011-8430,20-01-2011,OFF-SME-10002417,"Smead Trays, Single Width",49
CA-2011-146591,20-01-2011,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",109
ES-2011-1122594,20-01-2011,OFF-AR-10002094,"Boston Pencil Sharpener, Water Color",58
AO-2011-8430,20-01-2011,OFF-ELD-10000124,"Eldon Trays, Single Width",48
NI-2011-8880,20-01-2011,OFF-GRE-10000216,"Green Bar Note Cards, Premium",37
CA-2011-146591,20-01-2011,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32
NI-2011-8880,20-01-2011,OFF-FEL-10002399,"Fellowes Box, Blue",24
RS-2011-7010,20-01-2011,OFF-NOV-10000512,"Novimex Color Coded Labels, Adjustable",10
RS-2011-7010,20-01-2011,OFF-NOV-10001568,"Novimex Shipping Labels, 5000 Label Set",11
IN-2011-43585,20-01-2011,FUR-FU-10001096,"Advantus Clock, Black",139
MX-2011-146584,21-01-2011,FUR-TA-10001285,"Chromcraft Conference Table, Fully Assembled",2797
MG-2011-9660,21-01-2011,OFF-FEL-10002867,"Fellowes Lockers, Single Width",1244
US-2011-147627,21-01-2011,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1068
US-2011-147627,21-01-2011,TEC-PH-10001061,Apple iPhone 5C,700
MX-2011-146584,21-01-2011,TEC-PH-10000990,"Cisco Signal Booster, with Caller ID",405
MG-2011-9660,21-01-2011,FUR-OFF-10003688,"Office Star Rocking Chair, Black",277
CA-2011-167927,21-01-2011,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,273
MX-2011-146584,21-01-2011,TEC-PH-10003980,"Apple Signal Booster, VoIP",182
ES-2011-3229667,21-01-2011,TEC-AC-10004070,"Memorex Router, Programmable",495
CA-2011-167927,21-01-2011,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",248
MX-2011-146584,21-01-2011,OFF-SU-10004480,"Fiskars Box Cutter, Serrated",107
CA-2011-167927,21-01-2011,OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,67
MG-2011-9660,21-01-2011,OFF-FIS-10001591,"Fiskars Trimmer, High Speed",85
MX-2011-146584,21-01-2011,OFF-BI-10001002,"Avery Binder Covers, Recycled",61
CA-2011-167927,21-01-2011,OFF-AR-10004456,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,44
IR-2011-3900,21-01-2011,OFF-ROG-10001101,"Rogers Shelving, Wire Frame",61
US-2011-147774,21-01-2011,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,67
US-2011-147627,21-01-2011,OFF-EN-10001539,Staples,23
US-2011-147627,21-01-2011,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",39
ID-2011-63017,21-01-2011,OFF-AR-10003110,"Sanford Sketch Pad, Water Color",52
CA-2011-167927,21-01-2011,OFF-BI-10004364,Storex Dura Pro Binders,30
MG-2011-9660,21-01-2011,OFF-CAM-10000497,"Cameo Manila Envelope, Set of 50",27
MX-2011-146584,21-01-2011,OFF-BI-10002296,"Acco Binder Covers, Economy",18
US-2011-147627,21-01-2011,OFF-AR-10002375,Newell 351,23
CA-2011-167927,21-01-2011,OFF-BI-10000605,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19
CA-2011-167927,21-01-2011,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,14
CA-2011-148614,21-01-2011,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",19
CA-2011-167927,21-01-2011,FUR-FU-10002268,Ultra Door Push Plate,15
CA-2011-148614,21-01-2011,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19
US-2011-147627,21-01-2011,OFF-AR-10003811,Newell 327,7
ES-2011-5497239,22-01-2011,OFF-ST-10003102,"Rogers Lockers, Single Width",889
ES-2011-5497239,22-01-2011,FUR-BO-10003991,"Bush Classic Bookcase, Traditional",825
ES-2011-3906248,22-01-2011,OFF-ST-10000430,"Tenex File Cart, Blue",666
ID-2011-86950,22-01-2011,OFF-AR-10000751,"Binney & Smith Highlighters, Blue",60
KE-2011-7940,22-01-2011,OFF-SME-10001652,"Smead Trays, Wire Frame",95
ES-2011-1550182,22-01-2011,OFF-BI-10000538,"Acco Binding Machine, Clear",202
MX-2011-143238,22-01-2011,FUR-BO-10003112,"Sauder Floating Shelf Set, Traditional",259
MX-2011-165526,22-01-2011,FUR-CH-10003392,"Novimex Steel Folding Chair, Red",219
